Date,Open,High,Low,Close,Volume,RSI,SMA10,SMA20,SMA50,SMA200
2006-06-29,125.2,127.35,125.17,127.27,110634800,56.647,124.724,125.1645,127.7782,126.2928
2006-06-30,127.54,127.66,126.96,127.28,54227800,56.6806,124.987,125.07849999999999,127.70119999999999,126.31315
2006-07-03,127.43,128.01,127.31,127.8,23914000,58.4809,125.4,125.1125,127.6342,126.33640000000001
2006-07-05,127.29,127.45,126.52,127.07,69653400,55.0238,125.69800000000001,125.12550000000002,127.5574,126.35425000000001
2006-07-06,127.2,127.85,127.08,127.44,50100300,56.4297,125.941,125.20450000000001,127.49879999999999,126.376
2006-07-07,127.19,127.56,126.29,126.61,81626500,52.4676,126.15599999999999,125.24749999999999,127.42299999999999,126.39880000000001
2006-07-10,126.94,127.43,126.41,126.85,60964100,53.4846,126.39699999999998,125.32249999999999,127.33940000000001,126.4285
2006-07-11,126.61,127.41,125.94,127.41,73640800,55.8579,126.63899999999998,125.4935,127.2582,126.45885
2006-07-12,127.15,127.4,125.72,126.05,82561300,49.2816,126.853,125.6685,127.17120000000001,126.48189999999998
2006-07-13,125.45,125.68,124.0,124.0,102405700,41.3744,126.77799999999999,125.6935,127.0236,126.494
2006-07-14,124.13,124.26,122.83,123.52,103242500,39.7655,126.40299999999999,125.5635,126.87619999999998,126.50385
2006-07-17,123.52,124.1,123.15,123.34,81159000,39.1507,126.00900000000001,125.498,126.7158,126.51219999999999
2006-07-18,123.71,124.05,122.39,123.97,122771000,42.5015,125.626,125.513,126.5448,126.51875
2006-07-19,124.18,126.26,123.72,125.69,133565300,50.5136,125.48799999999999,125.59299999999999,126.4114,126.53199999999998
2006-07-20,126.12,126.3,124.66,124.83,112259800,46.988,125.227,125.58400000000002,126.25560000000002,126.54315000000001
2006-07-21,125.15,125.19,123.82,123.95,101560000,43.6322,124.96100000000001,125.55850000000001,126.0836,126.55680000000001
2006-07-24,124.44,126.32,124.44,126.21,92884000,52.9298,124.897,125.647,125.98880000000001,126.5897
2006-07-25,125.98,127.3,125.72,126.66,95480700,54.5378,124.822,125.73049999999998,125.93719999999999,126.62700000000001
2006-07-26,126.59,127.45,126.18,126.83,84525800,55.1609,124.9,125.8765,125.8838,126.6631
2006-07-27,127.38,127.69,126.2,126.71,87257100,54.5921,125.171,125.97449999999999,125.8318,126.70365
2006-07-28,127.04,128.14,126.86,127.98,82137000,59.3679,125.617,126.00999999999999,125.85439999999998,126.75139999999999
2006-07-31,127.66,127.96,127.45,127.85,49593100,58.6875,126.06799999999998,126.0385,125.88719999999999,126.80314999999999
2006-08-01,127.34,127.38,126.6,127.22,65225600,55.3751,126.39299999999999,126.0095,125.88960000000002,126.85210000000001
2006-08-02,127.58,128.46,127.55,128.08,64770900,58.7941,126.63200000000002,126.05999999999999,125.9286,126.89914999999999
2006-08-03,127.34,128.55,127.15,128.42,63693800,60.0957,126.99099999999999,126.109,125.9936,126.9457
2006-08-04,129.08,129.43,127.48,128.2,96294200,58.8014,127.41600000000001,126.1885,126.0342,126.9976
2006-08-07,127.9,128.08,127.4,127.9,45377300,56.9986,127.58500000000001,126.24100000000001,126.03759999999998,127.0382
2006-08-08,128.09,128.46,126.95,127.41,90901300,54.0819,127.66,126.24099999999999,126.0182,127.08689999999999
2006-08-09,128.18,128.6,126.61,126.98,78910600,51.5872,127.675,126.2875,126.0358,127.13114999999999
2006-08-10,126.58,127.5,126.28,127.37,69322300,53.6744,127.74100000000001,126.45600000000002,126.03299999999999,127.1682
2006-08-11,127.17,127.2,126.39,127.01,47482200,51.4686,127.644,126.63050000000001,125.99860000000001,127.20465
2006-08-14,127.63,128.16,126.92,127.11,57839000,52.058,127.57000000000001,126.819,125.9608,127.24334999999999
2006-08-15,128.25,128.87,127.9,128.63,68143000,60.0082,127.71100000000001,127.05199999999999,125.991,127.296
2006-08-16,129.32,129.89,129.04,129.7,71737600,64.4743,127.873,127.25250000000001,126.04879999999999,127.34550000000002
2006-08-17,129.58,130.37,129.49,130.03,70992800,65.7449,128.03400000000002,127.5125,126.13220000000001,127.395
2006-08-18,130.19,130.69,129.59,130.69,58288400,68.1949,128.283,127.84949999999999,126.23100000000001,127.446
2006-08-21,130.18,130.28,129.8,130.13,42133600,64.0115,128.506,128.0455,126.3266,127.48790000000001
2006-08-22,129.99,130.52,129.68,130.12,60839900,63.936,128.777,128.2185,126.4492,127.52715
2006-08-23,130.18,130.44,129.19,129.76,66592100,61.1429,129.055,128.365,126.5934,127.56540000000001
2006-08-24,129.99,130.1,129.4,129.65,57983000,60.2764,129.283,128.512,126.7164,127.6025
2006-08-25,129.64,130.25,129.55,129.81,41756000,61.1391,129.563,128.6035,126.7902,127.64040000000001
2006-08-28,129.65,130.82,129.64,130.43,52681500,64.3682,129.895,128.73250000000002,126.9058,127.6806
2006-08-29,130.49,130.83,129.81,130.58,61817800,65.1234,130.08999999999997,128.9005,127.044,127.71679999999998
2006-08-30,130.87,131.04,130.55,130.66,50052200,65.5428,130.18599999999998,129.0295,127.17540000000001,127.75129999999999
2006-08-31,130.85,130.99,130.58,130.64,37510300,65.3312,130.24699999999999,129.1405,127.288,127.78605000000002
2006-09-01,131.14,131.58,130.84,131.42,48794500,69.4693,130.32,129.3015,127.4272,127.82695
